Date,Open,High,Low,Close,Volume,Market Cap,Currency
7/14/2018,12.19,12.27,11.97,12.1,"21,534,200","1,379,500,466",$
7/13/2018,12.09,12.43,12.04,12.18,"29,709,900","1,389,034,318",$
7/12/2018,12.69,12.77,11.9,12.07,"26,008,100","1,376,546,796",$
7/11/2018,12.82,12.89,12.25,12.7,"38,867,700","1,448,883,187",$
7/10/2018,13.61,13.66,12.67,12.76,"36,507,100","1,455,315,115",$
7/9/2018,14.04,14.09,13.63,13.66,"36,874,000","1,558,317,209",$
7/8/2018,14.4,14.42,13.93,13.99,"60,275,400","1,595,654,327",$
7/7/2018,13.54,14.4,13.43,14.4,"79,974,896","1,642,741,976",$
7/6/2018,13.98,13.99,13.28,13.53,"33,466,000","1,542,933,039",$
7/5/2018,14.04,14.14,13.65,13.85,"41,185,300","1,579,528,889",$
7/4/2018,14.23,14.33,13.91,14.01,"37,043,700","1,597,205,289",$
7/3/2018,14.56,14.78,14.08,14.17,"60,657,300","1,616,136,143",$
7/2/2018,14.4,14.82,14.06,14.57,"55,614,000","1,661,650,022",$
7/1/2018,14.68,14.69,14.14,14.4,"38,434,400","1,642,662,147",$
6/30/2018,14.55,15.18,14.29,14.66,"59,676,900","1,671,537,402",$
6/29/2018,14.17,14.65,13.78,14.51,"52,784,600","1,654,579,462",$
6/28/2018,14.03,14.75,13.86,14.12,"67,290,496","1,610,787,606",$
6/27/2018,14.07,14.31,13.89,14.05,"44,136,600","1,602,291,530",$
6/26/2018,14.93,14.99,13.87,14.12,"37,503,400","1,610,263,016",$
6/25/2018,14.46,15.07,13.83,14.92,"60,358,000","1,701,598,686",$
6/24/2018,15.57,15.59,13.54,14.45,"96,256,304","1,647,622,943",$
6/23/2018,15.6,16.06,15.36,15.55,"70,431,104","1,773,478,911",$
6/22/2018,17.07,17.24,15.26,15.59,"113,751,000","1,778,348,474",$
6/21/2018,16.07,17.27,15.92,17.05,"122,980,000","1,944,780,333",$
6/20/2018,16.76,16.86,15.74,16.06,"65,190,300","1,831,719,798",$
6/19/2018,16.78,16.94,16.21,16.7,"80,738,096","1,904,443,928",$
6/18/2018,16.62,17.19,16.22,16.88,"106,776,000","1,924,982,765",$
6/17/2018,15.78,17.23,15.76,16.58,"107,346,000","1,890,667,740",$
6/16/2018,14.94,15.98,14.94,15.81,"81,354,704","1,802,901,564",$
6/15/2018,14.88,15.65,14.69,15.05,"79,159,296","1,716,104,738",$
6/14/2018,14.64,15.03,14.14,14.9,"80,329,504","1,698,679,229",$
6/13/2018,15.3,15.72,14.03,14.59,"97,415,904","1,663,759,786",$
6/12/2018,15.52,16.16,14.99,15.23,"116,016,000","1,736,415,491",$
6/11/2018,14.14,15.38,13.79,15.38,"83,039,696","1,754,354,186",$
6/10/2018,15.93,15.93,13.59,14.18,"79,288,200","1,617,584,467",$
6/9/2018,16.31,16.89,15.96,15.96,"85,299,904","1,820,463,922",$
6/8/2018,16.35,16.63,15.83,16.27,"94,394,600","1,855,885,147",$
6/7/2018,17.27,17.44,16.18,16.26,"131,031,000","1,854,664,905",$
6/6/2018,15.6,17.36,15.35,17.25,"157,806,000","1,966,927,151",$
6/5/2018,14.25,15.67,14.21,15.6,"101,474,000","1,778,964,297",$
